Song,Artist,Genre,Recommended by DJ...,DJ Notes,Listener Notes,
Hit Em Where It Hurts,Pawpaw Rod,Hip Hop,DJ Paul Newman,Little spring time beatz with windows down.,This song is a bop. -DJ Midge,
Wildfire,Jackson Dean,Country,DJ Paul Newman,Catchy voice.,,
Silverado,Caleb Lee Hutchinson,Country,DJ Paul Newman,The riffs,"Perfect warm weather, windows down song -DJ joc",
Joey,Concrete Blonde,Rock,DJ Paul Newman,Have a cigarette and close your eyes with this one.,"The combination of the DJ notes and the song really can't be beat, excellent work. - DJ Chunk",
Old Country Church,Tyler Childers,Americana,DJ Paul Newman,What's not to like?,Tyler Childer's never disappoints - DJ Midge,
Angel,Paul Cauthen,Americana,DJ Paul Newman,Deep voice. Turn it up loud and belt it out.,,
Never Ever,Lord Huron,Alternative,DJ Paul  Newman,Why not?,,
Long Violent History,Tyler Childers,Americana,DJ Paul Newman,Appropriate for the current times,,
Stay Wild,The Bones of J. R. Jones,Americana ,DJ Paul Newman,More to come from this guy. ,Gold - DJ Chunk,
Forrest Whitaker ,Brother Ali ,hip hop ,DJ rocket ,Self love! 😂,Oh this is where it's at - DJ Chunk,An old fave! -DJ joc
PunkRocker,Teddybears,Alternative/Indie,DJ Older Twin,"Cause I'm a punk rocker, yes I am.",,
Mr. E's Beautiful Blues,eels,Alternative/Indie,DJ Older Twin,"It's the beginning of spring - and godamn right, it's a beautiful day.",,
"Harold T. Wilkins, or How to Wait for a Very Long Time",Fanfarlo,Alternative/Indie,DJ Older Twin,"If you can find the music video - the band undergoes testing within the 'Institute for the Musical Paranormal' (IMP) in homage to the UFO fanatic and track namesake, Harold T. Wilkins.",,
5 Years Time,Noah and the Whale,Alternative/Indie,DJ Older Twin,"HTWoHTWFAVLT reminds me of this song - a happy upbeat song, reminding me of spring.",,
Here It Goes Again,OK Go,Alternative Rock,DJ Older Twin,"Here we go again, who can't like a little treadmill action with a catchy song in the music video.",,
Major Tom,Peter Schilling - OR - Shiny Toy Guns,German Pop,DJ Older Twin,"This song, to me, is chilling if you listen to the lyrics.  I personally like the Shiny Toy Guns version better - but it is more haunting to me - imagine - being stuck in space with no way to communicate home.","This song is such a jam in German, had only heard the American version hahaha. I listened to this like an hour before Artemis went behind the moon and out of COMM for 40 mins and was much more nervous than I otherwise would've been. - DJ Chunk","Yes, I wasn't sure if I wanted to put it down this month, but the Artie mission convinced me.  And who doesn't love a good German Song every now and again....just like 99 Luftballons -DJOT"
La Mer (aka Beyond The Sea),Charles Trenet,French,DJ Older Twin,"Make sure you pick the French Version.  That song about space reminded me of this song, due to it being in the Black Mirror episode about space.  But the version of this song is just delightful to listen to on a spring morning, with a cup of coffee in hand - like you're in a French cafe.",,
End of Beginning,Djo,Indie Pop,DJ Older Twin,"Stranger Things.  Interesting Fact - Joe Kreery chose the band name Djo becuase it sounds like his first name, but he wanted to separate his acting from his musical career.",,
Green Green Grass,George Ezra,Pop Rock,DJ Older Twin,Song is catchy and the music video is fun - about two ladies who rob a bank!,"Been diggin this one, Michael! - DJ Chunk",
Done For,Max McNown,Country,DJ Younger Twin,Reminds me of the Ashes song by Bailey Zimmerman / Diplo that I put on the playlist in February. Maybe it's the natural evolution.,,
Fire on the Mountain,Marshall Tucker Band,Rock,DJ Younger Twin,Came up on an Instagram reel of a country bar out west and have been playing this on repeater for the past two weeks.,,
People Got to Be Free,The Rascals,Oldies,DJ Younger Twin,Been in an Oldies kick recently.,,
Midnight Confessions,The Grass Roots,Oldies,DJ Younger Twin,"Like I said, been in an Oldies kick recently.",,
5 O'Clock World,The Vogues,Oldies,DJ Younger Twin,"Didn't you hear, I've been on an Oldies kick recently.",This came on leaving work the other day and it really hit - DJ Chunk,
Midnight Train to Georgia,Gladys Knight & The Pips,Oldies,DJ Younger Twin,"Yea, it's an Oldies kick, if you didn't hear.",,
Gentle on My Mind,Glenn Campbell,Country,DJ Younger Twin,Country.... but Oldies Country.  I'm on a kick if you weren't aware.,They don't make em like Glen anymore. - DJ Chunk,
