Song,Artist,Genre,Recommended by DJ...,DJ Notes,Listener Notes,,,
All I Wanna Do,Sheryl Crow,Bluesy Pop Rock,DJ Chunk,"I go through Sheryl Crow kicks, ok? Deal with it and enjoy your beers with Billy.",,,,
If It Makes You Happy,Sheryl Crow,Country Rock,DJ Joc,"I, too, am in a Sheryl State of Mind. ",Seems like we need to see Sheryl stat - DJ Chunk,,,
Winning Streak,Glen Hansard,Irish Folk Rock,DJ Joc,RIP ,Love! - DJ Midge,,,
Walk of Life,Dire Straits,Classic Rock,DJ Joc,This song randomly popped in my head and then listened to it like 3x in a row. The synthesizer riff is too good.,"Oh yea, he got the action, he got the motion. CERTIFIED BANGER - DJ Younger Twin",Hell yeah!! -DJ Mil,This is my #1 happy montage music choice - DJ Chunk,"it was Mark Knopfler's birthday this week, hbd to one of Scotland's greatest! -Schiff"
Coming Around Again,Alanis Morissette & Carly Simon,Alt Pop,DJ Joc,Would love to see an Alanis/Sheryl collab,,,,
High Hopes 3000,Role Model,country rock,Schiff,I share a lot of weird stuff here so once in a while I need to throw in a crowd pleaser,A++ - DJ Midge,,,
Easier Said Than Done,Thee Sacred Souls,soul,Schiff,Absolutely spoiled for good soul music these days,,,,
hey there [i have a compulsive complex],Q,alt-pop,Schiff,sing this chorus at somebody you love and I dare them not to smile,,,,
Chance to Bleed,Kurt Vile,honkytonk sleaze,Schiff,"Philly represent! I just love how structureless and repetitive this is, my favorite Kurt Vile song",I had no idea Kurt Vile was from Philly haha dig this! - DJ Chunk,,,
Closer,"The Linda Lindas, Haley Williams",rock,Schiff,thank you to the goat Haley for lending her voice to these LA teenagers rocking out in their garage ,big fan. hayley williams is always a win -DJ Midge,What DJ Midge said - DJ Chunk,,
Light the Way,Leon Bridges,R&B,DJ Midge,"the first four tracks on leon's new album ""happiness anytime"" are out and they are all 5/5 stars. chose this one because the shoulders are immediately boppin'","Immediate smile on my face with this song! Excited for the album, I'll have to listen to the other out songs now too! - DJ Chunk",,,
Reach Out,Victoria Monet,R&B,DJ Midge,frequency of love comes out october 1st if this is any indication of the album as a whole it will be a banger,,,,
Low Key in Love,"The Struts, Paris Jackson",Pop Rock,DJ Midge,I am low key in love with this song ;) ,,,,
Have Mercy,Chloe,Pop Rap,DJ Midge,"if singing ""booty so big lord, have mercy"" doesn't bring you joy I don't know what will",I'm buying mags a BBL for Christmas - Schiff,This sounds like beginning of a great Christmas Carol - DJ Chunk,,
I Love LA,Randy Newman,Rock,DJ Younger Twin,"Roll down the window, put down the top, crank up the Beach Boys baby, don't let that music stop! A great cruising song.","Love this song, and Randy -DJ Mil",,,
Don't Go Breaking My Heart,"Elton John, Kiki Dee",Oldies,DJ Younger Twin,Up there on my Mount Rushmore of duet Karaoke songs.,"Solid song, but Mt Rushmore karaoke duets?? I think mine are Love Shack, Choose your own Grease song - You're the One That I Want or Summer Nights, A Whole New World, and of course, Paradise by the Dashboard Light (RIP Meatloaf) - DJ Chunk",,,
Smooth Operator,Sade,Smooth Rock,DJ Younger Twin,Just some great sax in this.,,,,
Sinnerman,Nina Simone,R&B?,DJ Younger Twin,Give me some Thomas Crowne Affair.,MMMM HMMMMM - DJ Chunk,,,
Rhapsody in Blue,George Gershwin,Classical,DJ Younger Twin,"Yea, I got into a little classical music tour month.  Am I listening to classical music or the United Airlines safety video?",,,,
1812 Overture,Pytor Ilyich Tchaikovsky,Classical,DJ Younger Twin,Can't beat those cannons.,Definitely Mount Rushmore of songs with cannons in them. Also had no idea the cannon part was just a small part of a 14 minute song. - DJ Chunk,,,
Barefoot and Crazy,Jack Ingram,Country,DJ Older Twin,Always makes me want to drive to the beach or a lake - get that cooler loaded down and get outside.,,,,
Day Drunk,Morgan Evans,Country,DJ Older Twin,"Heard this song a number of few years ago, and similar to the above song, it makes me want to go outside and drink a beer.",,,,
Long Way To Go,Alan Jackson,Country,DJ Older Twin,"I really like Alan Jackson, and this song is a bit different than some of his others, but his signature fun country songs.  For goodness sake, there's a bug in my margarita!",,,,
Summertime,Blue Water Highway,Americana/Folk Rock,DJ Older Twin,This is a newer song that I really like - easy listening.,"Big like, good find! - DJ Chunk",,,
Road To Hana,Iam Tongi,Hawaiian,DJ Older Twin,Reminds me of the islands.,"Take me back to the islands, Michael. Delightful song. - DJ Chunk",,,
Summertime Is In Our Hands,Michael Franti,Hip-hop reggae,DJ Older Twin,"Some good old Michael Franti - I like the beat and the song - especially this time of year. However, I think the message of the song is good too - celebrating life.",,,,
Big Sky,Parker McCollum,Country,DJ Older Twin,Have been obsessed with this song the last few months - easy to listen to on repeat multiple times.  I could drive to this song for a long time.,,,,
When The Levee Breaks,Led Zeppelin,Classic Rock,DJ Older Twin,This song just reminds me of a hot humid day - being outsdie with no reprieve - especially that iconic opening.,,,,
F.N.T.,Semisonic,Rock,DJ Mil,"If you only know Closing Time, that's a mistake. Go listen to their first album (Great Divide). Solid gold",I love this song. I put it on several mix cds after hearing it for the first time in the paintball scene in 10 Things I Hate About You - DJ Joc,I only knew closing time and that was a mistake - DJ Chunk,,
August (the long pond studio sessions version),Taylor Swift,Folk Pop,DJ Morganism,Because it is the month of salt air and rust on your door!! Plus the Long Pond Studio version of folklore is amazing,,,,
Crystal Baller,Third Eye Blind ,Rock,DJ Morganism,Came across someone with the last name Baller last week and the song has been stuck in my head ever since. ,This was on a DJ TKO mix-CD back in the day and it's just such a jam - DJ Chunk,,,
Alone,Heart,Soft Rock,DJ Morganism,Screaming the words to this song is always a good time ,,,,
Pieces of Me,Ashlee Simpson,Pop,DJ Morganism,Been on a nostalgic 2000s girly pop kick lately and I have come to the conclusion that Jessica Simpson was behind the SNL lip sync scandal because Ashlee's music was better and she knew it. ,The amount of times this song pops into my head during a run would be weird if it wasn't such an amazing song. Always here for nostalgic 2000s girly pop. - DJ Chunk,"This song fucking SLAPS, weird hoedown dance or not. -DJ KN",,
Stuck,Stacy Orrico,Pop,DJ Morganism,I also believe this is the person Ashlee Simpson wanted to be when she dyed her hair black. ,,,,
Backseat Freestyle,Kendrick Lamar,Rap,DJ KN,2014/15 Olivia's summer vibe incoming,,,,
7/11,Beyoncé ,Hip Hop,DJ KN,,I'm disappointed that there are no mentions of Taquitos in a song named 7/11 - DJ Chunk,,,
II. Shadows,Childish Gambino,Hip Hop,DJ KN,,,,,
Bounce,Logic,Rap,DJ KN,,"First off, let me commend you on your confident ability to categorize rap and hip hop separately, this is an ability I do not have. Secondly, this is a bop! - DJ Chunk",,,
The Garden (pt. 3),Tea Leaf Green,Rock,DJ Mil,Just like we're supposed to be,,,,
I Will Always Love You,Dolly Parton,Music,Schiff,"I've got Dolly licence plates on my car, so in light of today's news I'm adding one of her great ballads. Hope she's happy in the big library in the sky.",RIP to the GOAT - DJ Chunk,,,
