Song,Artist,Genre,Recommended by DJ...,DJ Notes,Listener Notes,,,,
Stand by Me (cover) ,Stephen Wilson Jr,alt/country,DJ rocket ,Currently listening to... at this very moment,,,,,
The Poet Game (cover),Seth Avett, folk?,DJ Rocket,Guess I'm on a cover kick! ,"I lovee the Avett Brothers and somehow this album snuck by me, so now I have homework, thank you!! - DJ Chunk",,,,
Modern Girl,Bleachers,Alternative/Indie,DJ Cuz,"Back to Back Bleachers Months, but i guess this started playing a lot ",The little sax ditty in this is so money - DJ Chunk,,,,
Swoon,The Chemical Brothers,Dance/Electronic,DJ Cuz,Old 2k test song which has made it back into the rotation while I try to learn to run again... only on days I can turn it up though,,,,,
Oneida,Tyler Childers,country,DJ Knitting Needles,"I'm in my country era, I guess. Haven't been able to stop listening to these two songs.",,,,,
Bitin' List,Tyler Childers ,country,DJ Knitting Needles,OUTLAW COUNTRY!,I was going to put this on my list! Love this song/Tyler Childers in general! - DJ Midge,"Tyler Childers is the bomb dot com, I just listened to this album like last week and this song cracks me up - DJ Chunk",,,
Harder Than You Think,Public Enemy,rap,Schiff,Schiff,"Great song, but I really just want everyone to know that I grinded (ground?) on Flav on a cruise once. -DJ Knitting Needles ","<-- It's true. Later that night we saw him shooting hoops by himself in the dark, clock and all.","That's my point, people just see him as a caricature with a clock to grind up on, but Public Enemy was legit great for like 20 years","This song fuckin slaps, it's been my early most played. And the fact that the guy rapping the slapping is named Chuck is just *chef's kiss* - DJ Chunk",
God's Country,Lambrini Girls,punk,Schiff,kill the ruling class,This was money the first time you sent it to me and remains so. It makes me want to burn down Parliament and buy Doc Martens. - DJ Chunk,,,,
Early In the Morning,The Gap Band,funk,Schiff,Who would've thought the coolest guys to ever live would be from Tulsa,,,,,
Tulsa Time,Don Williams,country,Schiff,"fuck it, let's stay in Tulsa with a classic","Listened to this on Jan 29, enjoyable song - DJ Older Twin",A jam - DJ IDWADJN,,,
Water,Tyla,contemporary R&B,DJ Midge,big fan of tyla's vocals,,,,,
Burn Me Down,Marty Stuart,Country,DJ Midge,discovered marty when he opened for christ stapleton and have been a fan ever since.,"Great song - DJ Older Twin.

Follow-up note to the ""Tempted"" note in Column I - great song.  Also recommend - ""Western Girls"" and ""Burn Me Down""","You're so Nashville now, Midge! This song is a boot scootin good time! - DJ Chunk","We were actually in MO still when we saw Marty. He's a mandolin prodigy, been touring since he was 12!","Hadn't heard this Marty S. one before, but I dig it. Really enjoy ""Tempted"" by Marty.",Thank you for introducing me to Marty -DJ IDWADJN
Ritual,"Tiesto, Jonas Blue, Rita Ora",Dance,DJ Midge,a song i've had on repeat for years,,,,,
Velvet Connection,Moody Joody,Pop,DJ Midge,"catchy, fun bop that was just as good when I saw them live",,,,,
Join ICE,Jesse Welles,Folk,DJ I Don't Want a DJ Name,Could he be the Willie Nelson of our generation?,This is everything I want a protest song to be - DJ Chunk,,,,
The Bitch is Back,Miley Cyrus,Pop,DJ I Don't Want a DJ Name,"Since I dissed Miley last month, felt this was due. It's not better than the original, but worth a listen, as is this whole Elton John covers album. Also just love a comeback song.",,,,,
Drowning Man,Eric Church,Country,DJ I Don't Want a DJ Name,"Not be confused with Desperate Man, another Eric Church banger on the same album",,,,,
Pork and Beef,The Coup,rap,DJ Knitting Needles ,Just thought about this one for the first time in forever. sickest beat and literally always timely,,,,,
Sledgehammer,Peter Gabriel,Rock,DJ Mil,Listened to this for the first time in a long time and has been in heavy rotation. Tony Levin bass line fuckin grooves!,"I gotta admit, I didn't have Peter Gabriel on the FTA Bingo card hahaha. Calssic song though - DJ Chunk",Great example of my theory that pop music is better when artists are free to be extremely horny. - Schiff ,,,
Hunnybee,Unknown Mortal Orchestra,Indie Rock,DJ Mil,~~Vibes~~,BIG vibes - DJ Chunk,,,,
Rubin and Cherise,Jerry Garcia Band,Rock,DJ Mil,"First track on one of Jerry's best, Cats Under the Stars",,,,,
Oklahoma Smokeshow,Zach Bryan,country,DJ Knitting Needles ,He just makes me feel things,,,,,
James Connolly,Black 47,Irish Rock,DJ Younger Twin,"Getting in some Irish independence music ahead of St Patty's Day! What does Irish independence have to do with St Patty's Day? The snakes were British, obviously.",,,,,
Lovely Day,Bill Withers,R&B,DJ Younger Twin,"Man, Bill can really hold that end note for a long time.... almost as long as an entire ddddddaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaayyyyyyyyyyyyyyyyyyyyyyyy.",I love this song and almost added it --DJ IDWADJN,anything Bill Withers is gold - Schiff,,,
Make Your Own Kind of Music,Cass Elliot,Oldies / Folk,DJ Younger Twin,"For the sake of humanity, I hope Desmond keeps entering those numbers.",,,,,
Country Roads,Ryan Bingham,Country,DJ Younger Twin,Makes me want to get in the car and drive.,"I'm definitely coming back to this one when it gets warmer, it's got spring/summer good-vibes crusin all over it - DJ Chunk",,,,
Ashes,Bailey Zimmerman / Diplo,Country,DJ Younger Twin,"Forget where I Shazamed this one at, but I enjoy this on my commute, especially when I beat everyone out of the intersection when the light turns green.",🔥 - DJOT,,,,
Sarà perché ti amo,Ricchi e Poveri,International Rock,DJ Younger Twin,"Re-introduced to this while watching the Olympics in a ""dead air"" period of no events in the stadium and no announcer talking, but obviously the in-house PA person was trying to get the hype going.",,,,,
Easy Lover,Phil Collins,Rock,DJ Younger Twin,"I saw DJ Mil put up Sledgehammer, so I gave that a spin. Then that got me on a Genesis / Phil Collins kick.  Definitely recommend a live version of Easy Lover -- like Paris '97 or Montreaux '04.... the energy is kicked up a notch in the live versions.",,,,,
Bullet,Steel Train,Indie Rock,DJ Morganism,Bleachers made me nostalgic for Steel Train. Jack Antonoff does not miss. ,,,,,
Golden,Huntr/x,K-Pop,DJ Morganism,It keeps playing during Olympic coverage and is always stuck in my head. But I'm not mad at it yet. And KPop Demon Hunters is also an amazing movie with an equally amazing soundtrack. ,"Between Heated Rivalry and K-pop Demon Hunters, you've done more for mine and Jocelyn's 2025/2026 pop-culture cred than anyone, Mo Brown - DJ Chunk",,,,
Blame Brett,The Beaches,Rock,DJ Morganism,"Everything by the Beaches is great but as a person who has an ex named Brett and hates holding herself accountable for anything, this song speaks to me",,,,,
No Broke Boys - AVELLO remix ,"Disco Lines, Tinashe, AVELLO",Dance/Electronic,DJ Morganism,It's just so so good. Big fan of Tinashe. ,,,,,
Die On This Hill,Sienna Spiro,Pop/Soul,DJ Morganism,I feel like she is Gen Z Adele ,I can TOTALLY see that hahaha - DJ Chunk,,,,
Traveling Soldier ,Cody Johnson ,country,DJ Rocket,just to continue the cover theme from earlier...,"Cover or no cover, this song goes right for the feels - DJ Chunk",,,,
Come To My Party,Black Joe Lewis & The Honebears,Funk,DJ Older Twin,From the Christmas Classic - Office Christmas Party.... but really just an upbeat get ready to go out song.  Plus those horns.,,,,,
How You Like Me Now,The Heavy,Indie Rock,DJ Older Twin,More horns!  Also love the 2010 Kia Sorrento Superbowl Commercial where I first heard this song...how can you not love that cast of characters?!,,,,,
