Song,Artist,Genre,Recommended by DJ...,DJ Notes,Listener Notes,
Our House,Madness,New Wave Pop,DJ Older Twin,"Well obviously, you're buying a house, so this needs to be the first one for June",,
Eastside Girls,MUNA,Lesbian Pop,DJ TKO,Lesbian we didn't start the fire,Nashville radio plays a ton of this album. It's good pop! -Schiff,Rhyming ren faire and gender confirmation care wasn't on my June lyrics bingo card and I'm kicking myself for it - DJ Chunk
Feels Like Summer,Samuel Jack,Blues / Modern Pop,DJ Older Twin,"I mean we're heading into summer now that we're passed Memorial Day - as you'll see my most of my songs.  For me, it certainly feels like summer!",,
Lorelei,ERNEST,Country,DJ Older Twin,Starting off with an easy summer song that reminds me of Zac Brown with a hint of Jimmy Buffett,,
Melissa I'M Drunk And Outside,Afroplugs,"Dance/Electronic, Reggae",DJ Older Twin,Just a fun reggae beat - makes me want to be outsdie on a beach,I'm dying - DJ TKO,This song just oozes cruise life - DJ Chunk
Cheerleader,Omi,Reggae Fusion / Tropical House,DJ Older Twin,Another summer type beat….plus that trumpet++++.  Plus the music video is in a tropical location.,What a throwback! - DJ Chunk,
Oh Cecilia (Breaking My Heart),The Vamps,Pop,DJ Older Twin,"The music video tells the tale of a more-fun looking Lord of Flies situation.  But nonetheless, a catchy beat with a bit of summer feel.",,
The Puerto Rico Song,Saxboy Billy,Tropical,DJ Older Twin,"Yea its from TikTok, but none the less a song that makes me want to go to Puerto Rico and a beach.",,
On The Blvd,Chris Ayer,Rock/Pop,DJ Older Twin,"I think my brother played this song a while back, and I just like the sound of it - kind of reminds me of the Baha Men.",,
That's When You Know,Carter Faith and Kygo,Dance/Electronic,DJ Older Twin,A little Kygo never hurt no one.  Reminds me of that It Ain't Me Selena Gomez song.,,
Yeah vs. Mo Money Mo Problems (Matoma Remix),Ludacris ft. The Notorious B.I.G,Tropical House,DJ Older Twin,"This will be one of the only mashups I put on, but I like the beat, I like the songs, I like the mashups (plus a little Samuel L Jackson overriding on it).","This song doesn't exist on Apple Music or Spotify, but I listened on Youtube and enjoyed haha - DJ Chunk",
This Girl,Cookin' on 3 Burners and Kungs,Dance/Electronic,DJ Older Twin,That sax beat,,
Springsteen ,Eric Church,Country ,DJ rocket ,Just the perfect tune for kicking off summer (in the new house!),This song (and whole album) is just so good - DJ Chunk,Love this song and Eric Church - DJ Older Twin
Wild Cat ,Ratatat,,DJ Colter,,This is everything I wanted a song named Wildcat by Ratatat to be - DJ Chunk,
When the Night Feels My Song,Bedouin Soundclash,reggaeish,Schiff,Takes me back to living in an attic with no air conditioning and having very few worries in life,Bedouin Soundclash! They also take me back to you living in an unairconditioned attic. - DJ Chunk,
Orange Blossoms,JJ Grey & Mofro,southern rock,Schiff,Maybe the band I've consistently listened to for the longest? I still have their CDs I bought in high school in my car,This song is such a jam. - DJ Chunk,
The Spins,Mac Miller,rap,Schiff,"I'm not really a Mac Miller fan, and I'm not condoning adultery, but the line ""you grabbin on my sheets and hittin notes like you Mariah"" is too funny not to keep on my running playlist",Big fan of this song - DJ Older Twin,Big fan of adultery and also this song - DJ TKO
Right Back To It,"Waxahatchee, MJ Lenderman",Country,Schiff,harmonies,Love this song more every time I listen to it - DJ Chunk,
Comes in Waves,Dawes,Rock,Mick,"Always describe these guys as ""jam band your wife likes"". I don't remember if I've added this to previous months. If so, dump it. I'm not looking through that many spreadsheets.","I'll have to listen to more of their stuff, I haven't heard of these guys before. Dig this though. - DJ Chunk",
Horses and Divorces,Kacey Musgraves and Miranda Lambert,Country,DJ Joc,"The line ""What asshole doesn't like WIllie?"" really sealed the deal for me on this song.",,
Ain't Wastin' Time No More,Allman Brothers Band,Rock,DJ Joc,Mt. Rushmore of Allman Bros songs,Yes - Mick,
