Song,Artist,Genre,Recommended by DJ...,DJ Notes,Listener Notes,,,
The Wild Rover,The Dubliners,Folk,DJ Chunk,"DJ Younger Twin got the St. Patty's started last month, and I'm continuing with several suggestions this month. Suffice it to say you haven't lived until you've been countless Guinesses deep at an Irish pub and get to scream sing this with all of your new closest friends.",Big fan of the claps - DJ Midge,"@DJ Midge just remember, the claps go 4 - 2 - 1.  If you mess it up, the entire bar heckles at you and you have to take a drink! - DJ Younger Twin",If it's a bar in Ireland they'll already be beating Chuck's ass for calling it St. Patty's Day - Schiff,
Me & The Moon,Gaelic Storm,Folk Rock,DJ Chunk,"Hard to pick just one Gaelic Storm song, but this is the first one of theirs I remember knowing I knew. (They're the party in third class band in Titanic, but I didn't know that for awhile). Anyhoo, the moon is a good friend, thanks for the light, big guy.",Love me some Gaelic Storm. A lot of great songs by them!  They're coming to the Birchmere at the end of March! - DJ Younger Twin,,,
Morning Nightcap,Lúnasa,Folk,DJ Chunk,Rounding out the Irish jams with a trad song. Lúnasa is THE band for Irish trad as far as I'm concerned and this song always makes me happy and ready to ramble through the lush green hills of old Ireland.,,,,
Killeagh,Kingfishr,Folk,DJ Younger Twin,This one popped up on an IG reel like two weeks ago and it's been pretty much playing on repeat since.  Waited to put it on the March playlist because of St Pats. BRB.... going to go hang out in my Irish sweater staring off towards the sea.,"I'm going to need a painting of you in your sweater, staring at the sea - DJ Chunk",,,
The Dublin Pub Crawl,The Irish Rovers,Folk,DJ Younger Twin,"More Guinness drinking music. Applicable to be played at Lannigan's, Flannigan's, Milligan's, Gilligan's, Rafferty's, Cafferty's, Dillon's, McQuillan's, McCleary's, O'Leary's, O'Hegarty's, or Kitty McGee's.","A classic! Good pull, Timmy - DJ Chunk",,,
Sedona,Houndmouth,Alt Rock,DJ Younger Twin,Should be in a Netflix documentary.,,,,
Keep Going,The Revivalists,Alt rock,DJ Gymnast,"A fun, jazzy, uplifting song from a solid band. Fun fact I went on a trip with the lead singer's wife",This is money!!! - DJ Chunk,I'm digging this - DJ Younger Twin.,,
Bite My Tongue,Cassandra Coleman,Indie pop,DJ Gymnast,I'd like to thank Netlfix's Nobody Wants This for introducing me to this song,,,,
Anything But Me,MUNA,Indie pop,DJ Gymnast,The first two lines may be my favorite opening to a song in a while,I chuckle every time this song comes on and I hear those lines - DJ Chunk,,,
Read your Mind,Sabrina Carpenter,Pop,DJ Gymnast,Just a bop with a great chorus,,,,
Dance the Night Away,The Mavericks,cubano country?,Schiff,The Mavericks are a case of doing something cheesy but putting your whole ass into it so it becomes something great. Meatloaf would approve.,Also Sturgill Simpson just put Mutiny After Midnight up on YouTube and the whole album is incredible go check it out. He was great live and I want to see him again just for this album. -Schiff,I'm a fan of this one but haven't heard it in years. Sounds like you're in 1970's southwest America while listening - DJYT,"I do know this song, but can't place where I know it from at all. It is a swingin good time though. - DJ Chunk",@DJ Chunk -- I know I played it in the Flop some in my room.  Maybe it's deep in your mind place from there! - DJYT
How Does It Feel,Kamaiyah,hip hop,Schiff,"The #1 song I'm mad the dj DIDN'T play at our wedding, even though Mags and I had it on our list",,,,
Legs,"Chuck English, Chromeo",dance/disco,Schiff,The #1 song I discovered after our wedding that I wish I could retcon onto our reception playlist.,"Chuck Inglish: Legs Guy
Chuck Hudson: Personality Guy - DJ Chunk","""she ain't a lady if she ain't 280"" - Chuck, -DJ Midge",,
Não Adianta,Trio Mocoto,soul,Schiff,Soul and Funk music hitting Brazil in the 60s must've been like a nuclear bomb of sexy swagger. Some of my favorite horns of all time on this one.,,,,
Down Deh,Spice,hip hop?,DJ Midge,I started running again and yesterday this came up on shuffle and I forgot how much I like it. the beat got the shoulders bopping while I was running,You're down playing this by only listing Spice. Also featuring Sean Paul and Shaggy?! Murderers Row of boppers! - DJ Chunk,,,
Second to the Sun,Stolen Gin,rock,DJ Midge,not much to say except every time stolen gin comes on it makes me happy,"Yooooooooooo, I love this. I've repeated it multiple times already - DJ Chunk",,,
Talk Too Much,COIN,Indie pop,DJ Midge,catchy and fun,I love this song! -Gymnast,,,
Ribs,Lorde,Alt indie,DJ Midge,an all time favorite,,,,
Bound for Glory,Tedeschi Trucks Band,rock,DJ Midge,My other girl crush is Susan Tedeschi and if I could have someone's singing voice it'd be hers,We all want Susan Tedechi's voice - DJ Chunk,,,
Big Iron,Marty Robbins,Country-Western,DJ Older Twin,This song started the list of the songs that follow.  I originally was going to put this song on and some random others - but the story continues below.  This song - about an Arizona Ranger has the hallmarks of a good western ballad.,These songs: fun - DJ Chunk,Its all part of the vibe.  I'll do more upbeat songs once DST hits.  - DJ Older Twin,,
El Paso,Marty Robbins,Country-Western,DJ Older Twin,"Continuing with Marty Robbins, this song tells the story of love in the wild west, which ends with an untimely gun fight.",,,,
