Song,Artist,Genre,Recommended by DJ...,DJ Notes,Listener Notes,,
Breathing Electricity,The Electric Sons,Indie-Electro,DJ TKO,I've been delinquent but guess what mimi.....we're back,,,
Devil's Dance Floor,Flogging Molly,Punk,DJ TKO,Also I've been on a retrospective bender,Here for the retrospective bender - DJ Chunk,Forgot about this song. Still gold -DJ Midge,
Ireland Boys Hurrah,Irish Rovers,Irish,DJ Younger Twin,Missed this one at St Patricks day and how can you deny the boys from Ireland? ,,,
Holes,Passenger,Indie,DJ Younger Twin,Love this one.,,,
Mississippi,Griswolds,Indie,DJ Younger Twin,"Kind of a Jack Johnson vibe but what a great song to listen to while just going out for a saunter, or a drive where you actually stop at the yellow light.",,,
Find Your People,Drew Holcomb and the Neighbors,Folk Rock,DJ Younger Twin,Would you like to be my neighbor?,"Found em! Good song, Timmy - DJ Chunk",,
Thunder Island,Jay Ferguson,Yacht Rock,DJ Younger Twin,Just a summer vibe all around.,"Had never heard or seen Jay Ferguson before, but after seeing that album cover, wow, this guys parties for sure - DJ Chunk","@DJChunk - it's Yacht Rock, it's one giant party going from port to port. - DJYT",
Right Place Wrong Time,Dr. John,Oldies R&B,DJ Older Twin,"Fargo Season 2?!  Also just love the beat.  But back to Fargo - it's a great cast (seriously, go look at it) and one of my favorite seasons.  (EDIT NOTE - updated the link 05/04)",,,
Dirty Laundry,Don Henley,Rock,DJ Older Twin,"Per Wikipedia - ""The song is about the callousness of network television news reporting as well as the tabloidization of all news.""  I'll leave it at that.",,,
Over Me,Reeve Stimson,Retro Pop,DJ Older Twin,"Heard it on Sirius, love it.  Got that good 80s vibe.",Defnitely a keeper - DJ Chunk,,
Giving It Up (For Your Love),Delbert McClinton,Bules Rock,DJ Older Twin,"Heard it on Sirius, love it. ",,,
Sunday Best,Surfaces,Electropop,DJ Older Twin,"Feelin good, like I should","Was a COVID repeat listen, couldn't get enough",,
Tangled Up In Blue,Bob Dylan,Americana,DJ Older Twin,"If you listen to the lyrics of the song, you'll hear the verses are out of sequence in telling the story","Love this song, but never really put the out of order thing together - DJ Chunk",,
I Can Boogie,Baccara,Disco,DJ Older Twin,"Yes sir, I just like this song.",,,
car crash,jigitz,EDM,DJ Ramstein,Icona Pop - I Love It vibes mixed with M.I.A. Paper Planes. If I described this perfectly please let me know.,Definitely going on the running playlist -DJ Midge ,This gets me goin - DJ Chunk,
Float,HARBOUR,Rock?,DJ Ramstein,Good vibes,,,
Sunburn,HARBOUR,Rock?,DJ Ramstein,Good vibes but sunburnt,Been diggin these guys a lot!! - DJ Chunk,,
